Position,class,breed_name,size,exercise,size_of_home,grooming,coat_length,sheds,lifespan,vulnerable_native_breed,town_or_country,size_of_garden
104,WORKING,Hovawart,Large,More than 2 hours per day,Large house,More than once a week,Medium,Yes,Over 10 years,No,Either,Large garden
105,PASTORAL,Hungarian Kuvasz (Imp),Large,Up to 1 hour per day,Large house,More than once a week,Medium,Yes,Over 10 years,No,Country,Large garden
106,PASTORAL,Hungarian Puli,Medium,Up to 1 hour per day,Small house,More than once a week,Long,No,Over 12 years,No,Either,Small/ medium garden
107,PASTORAL,Hungarian Pumi,Small,Up to 1 hour per day,Small house,Once a week,Medium,No,Over 12 years,No,Either,Small/ medium garden
108,GUNDOG,Hungarian Vizsla,Medium,More than 2 hours per day,Large house,Once a week,Short,Yes,Over 12 years,No,Either,Large garden
109,GUNDOG,Hungarian Wirehaired Vizsla,Medium,More than 2 hours per day,Large house,More than once a week,Medium,Yes,Over 10 years,No,Either,Large garden
110,HOUND,Ibizan Hound,Medium,More than 2 hours per day,Large house,Once a week,Short,Yes,Over 10 years,No,Country,Large garden
111,GUNDOG,Irish Red & White Setter,Large,More than 2 hours per day,Large house,More than once a week,Medium,Yes,Over 10 years,Yes,Either,Large garden
112,GUNDOG,Irish Setter,Large,More than 2 hours per day,Large house,More than once a week,Medium,Yes,Over 10 years,No,Either,Large garden
113,TERRIER,Irish Terrier,Small,Up to 1 hour per day,Small house,More than once a week,Medium,Yes,Over 12 years,No,Either,Small/ medium garden
114,HOUND,Irish Wolfhound,Large,More than 2 hours per day,Large house,More than once a week,Medium,Yes,Under 10 years,Yes,Country,Large garden
115,TOY,Italian Greyhound,Small,Up to 1 hour per day,Small house,Once a week,Short,No,Over 12 years,No,Either,Small/ medium garden
116,GUNDOG,Italian Spinone,Large,More than 2 hours per day,Large house,More than once a week,Medium,Yes,Over 10 years,No,Either,Large garden
117,TERRIER,Jack Russell Terrier,Small,Up to 1 hour per day,Flat/ Apartment,Once a week,Short,Yes,Over 10 years,No,Country,Small/ medium garden
118,UTILITY,Japanese Akita Inu,Large,More than 2 hours per day,Large house,More than once a week,Short,Yes,Over 10 years,No,Either,Large garden
119,TOY,Japanese Chin,Small,Up to 30 minutes per day,Flat/ Apartment,More than once a week,Medium,Yes,Over 10 years,No,Either,Small/ medium garden
120,UTILITY,Japanese Shiba Inu,Small,Up to 1 hour per day,Small house,Once a week,Short,Yes,Over 10 years,No,Either,Small/ medium garden
121,UTILITY,Japanese Spitz,Small,Up to 1 hour per day,Small house,Every day,Medium,Yes,Over 12 years,No,Either,Small/ medium garden
122,UTILITY,Keeshond,Medium,Up to 1 hour per day,Small house,Every day,Medium,Yes,Over 10 years,No,Either,Small/ medium garden
123,TERRIER,Kerry Blue Terrier,Medium,Up to 1 hour per day,Small house,Once a week,Medium,No,Over 10 years,Yes,Either,Small/ medium garden
124,TOY,King Charles Spaniel,Small,Up to 30 minutes per day,Flat/ Apartment,More than once a week,Medium,Yes,Over 12 years,Yes,Either,Small/ medium garden
125,PASTORAL,Komondor,Large,Up to 1 hour per day,Large house,More than once a week,Long,No,Under 10 years,No,Country,Large garden
126,UTILITY,Kooikerhondje,Small,Up to 1 hour per day,Small house,More than once a week,Medium,Yes,Over 12 years,No,Either,Small/ medium garden
127,UTILITY,Korean Jindo (Imp),Medium,Up to 1 hour per day,Small house,More than once a week,Medium,Yes,Over 10 years,No,Either,Small/ medium garden
128,GUNDOG,Korthals Griffon (Imp),Medium,More than 2 hours per day,Large house,More than once a week,Medium,Yes,Over 10 years,No,Country,Large garden
129,GUNDOG,Lagotto Romagnolo,Small,More than 2 hours per day,Small house,More than once a week,Medium,No,Over 12 years,No,Country,Large garden
130,TERRIER,Lakeland Terrier,Small,Up to 1 hour per day,Small house,More than once a week,Short,No,Over 12 years,Yes,Either,Small/ medium garden
131,PASTORAL,Lancashire Heeler,Small,Up to 1 hour per day,Flat/ Apartment,Once a week,Short,Yes,Over 12 years,Yes,Either,Small/ medium garden
132,GUNDOG,Large Munsterlander,Large,More than 2 hours per day,Large house,More than once a week,Medium,Yes,Over 10 years,No,Either,Large garden
133,WORKING,Leonberger,Large,More than 2 hours per day,Large house,Once a week,Medium,Yes,Under 10 years,No,Country,Large garden
134,UTILITY,Lhasa Apso,Small,Up to 1 hour per day,Flat/ Apartment,Every day,Long,No,Over 12 years,No,Either,Small/ medium garden
135,TOY,Lowchen (Little Lion Dog),Small,Up to 1 hour per day,Flat/ Apartment,More than once a week,Medium,Yes,Over 12 years,No,Either,Small/ medium garden
136,TOY,Maltese,Small,Up to 30 minutes per day,Flat/ Apartment,Every day,Long,No,Over 12 years,No,Either,Small/ medium garden
137,TERRIER,Manchester Terrier,Small,Up to 1 hour per day,Small house,Once a week,Short,Yes,Over 12 years,Yes,Either,Small/ medium garden
138,PASTORAL,Maremma Sheepdog,Large,More than 2 hours per day,Large house,More than once a week,Medium,Yes,Over 10 years,No,Country,Large garden
139,WORKING,Mastiff,Large,Up to 1 hour per day,Large house,Once a week,Short,Yes,Under 10 years,Yes,Country,Large garden
140,TOY,Miniature Pinscher,Small,Up to 30 minutes per day,Flat/ Apartment,Once a week,Short,Yes,Over 12 years,No,Either,Small/ medium garden
